sample_name,type,flowcell,lane,file,ega_id
SJCBF121,G,C0VN9ACXX,2,SJCBF121_G-C0VN9ACXX.2.bam.cip,EGAF00000879320
SJCBF123,D,C0VN9ACXX,1,SJCBF123_D-C0VN9ACXX.1.bam.cip,EGAF00000879325
SJCBF123,D,C0VN9ACXX,2,SJCBF123_D-C0VN9ACXX.2.bam.cip,EGAF00000879326
SJCBF123,G,C0VN9ACXX,1,SJCBF123_G-C0VN9ACXX.1.bam.cip,EGAF00000879327
SJCBF123,G,C0VN9ACXX,2,SJCBF123_G-C0VN9ACXX.2.bam.cip,EGAF00000879328
SJCBF124,D,C0VN9ACXX,1,SJCBF124_D-C0VN9ACXX.1.bam.cip,EGAF00000879329
SJCBF124,D,C0VN9ACXX,2,SJCBF124_D-C0VN9ACXX.2.bam.cip,EGAF00000879330
SJCBF124,G,C0VN9ACXX,3,SJCBF124_G-C0VN9ACXX.3.bam.cip,EGAF00000879331
SJCBF124,G,C0VN9ACXX,4,SJCBF124_G-C0VN9ACXX.4.bam.cip,EGAF00000879332
SJCBF125,D,C0VN9ACXX,3,SJCBF125_D-C0VN9ACXX.3.bam.cip,EGAF00000879333
SJCBF125,D,C0VN9ACXX,4,SJCBF125_D-C0VN9ACXX.4.bam.cip,EGAF00000879334
SJCBF125,G,C0VN9ACXX,3,SJCBF125_G-C0VN9ACXX.3.bam.cip,EGAF00000879335
SJCBF125,G,C0VN9ACXX,4,SJCBF125_G-C0VN9ACXX.4.bam.cip,EGAF00000879336
SJCBF137,D,C0PAYACXX,1,SJCBF137_D-C0PAYACXX.1.bam.cip,EGAF00000879337
SJCBF137,D,C0PAYACXX,2,SJCBF137_D-C0PAYACXX.2.bam.cip,EGAF00000879338
SJCBF137,D,D12RGACXX,5,SJCBF137_D-D12RGACXX.5.bam.cip,EGAF00000879339
SJCBF137,G,C0PAYACXX,3,SJCBF137_G-C0PAYACXX.3.bam.cip,EGAF00000879340
SJCBF137,G,C0PAYACXX,4,SJCBF137_G-C0PAYACXX.4.bam.cip,EGAF00000879341
SJCBF138,D,C0PAYACXX,3,SJCBF138_D-C0PAYACXX.3.bam.cip,EGAF00000879342
SJCBF138,D,C0PAYACXX,4,SJCBF138_D-C0PAYACXX.4.bam.cip,EGAF00000879343
SJCBF138,G,C0PAYACXX,3,SJCBF138_G-C0PAYACXX.3.bam.cip,EGAF00000879344
SJCBF138,G,C0PAYACXX,4,SJCBF138_G-C0PAYACXX.4.bam.cip,EGAF00000879345
SJCBF138,G,D12RGACXX,6,SJCBF138_G-D12RGACXX.6.bam.cip,EGAF00000879346
SJCBF139,D,C0PAYACXX,3,SJCBF139_D-C0PAYACXX.3.bam.cip,EGAF00000879347
SJCBF139,D,C0PAYACXX,4,SJCBF139_D-C0PAYACXX.4.bam.cip,EGAF00000879348
SJCBF139,G,C0PAYACXX,3,SJCBF139_G-C0PAYACXX.3.bam.cip,EGAF00000879349
SJCBF139,G,C0PAYACXX,4,SJCBF139_G-C0PAYACXX.4.bam.cip,EGAF00000879350
SJCBF140,D,C0PAYACXX,3,SJCBF140_D-C0PAYACXX.3.bam.cip,EGAF00000879351
SJCBF140,D,C0PAYACXX,4,SJCBF140_D-C0PAYACXX.4.bam.cip,EGAF00000879352
SJCBF140,G,C0PAYACXX,5,SJCBF140_G-C0PAYACXX.5.bam.cip,EGAF00000879353
SJCBF140,G,C0PAYACXX,6,SJCBF140_G-C0PAYACXX.6.bam.cip,EGAF00000879354
SJCBF141,D,C0PAYACXX,5,SJCBF141_D-C0PAYACXX.5.bam.cip,EGAF00000879355
SJCBF141,D,C0PAYACXX,6,SJCBF141_D-C0PAYACXX.6.bam.cip,EGAF00000879356
SJCBF141,G,C0PAYACXX,5,SJCBF141_G-C0PAYACXX.5.bam.cip,EGAF00000879357
SJCBF141,G,C0PAYACXX,6,SJCBF141_G-C0PAYACXX.6.bam.cip,EGAF00000879358
SJCBF142,D,C0PAYACXX,5,SJCBF142_D-C0PAYACXX.5.bam.cip,EGAF00000879359
SJCBF142,D,C0PAYACXX,6,SJCBF142_D-C0PAYACXX.6.bam.cip,EGAF00000879360
SJCBF142,G,C0PAYACXX,5,SJCBF142_G-C0PAYACXX.5.bam.cip,EGAF00000879361
SJCBF142,G,C0PAYACXX,6,SJCBF142_G-C0PAYACXX.6.bam.cip,EGAF00000879362
SJCBF143,D,C0PAYACXX,5,SJCBF143_D-C0PAYACXX.5.bam.cip,EGAF00000879363
SJCBF143,D,C0PAYACXX,6,SJCBF143_D-C0PAYACXX.6.bam.cip,EGAF00000879364
SJCBF143,G,C0PAYACXX,7,SJCBF143_G-C0PAYACXX.7.bam.cip,EGAF00000879365
SJCBF143,G,C0PAYACXX,8,SJCBF143_G-C0PAYACXX.8.bam.cip,EGAF00000879366
SJCBF143,G,D12RGACXX,6,SJCBF143_G-D12RGACXX.6.bam.cip,EGAF00000879367
SJCBF144,D,C0PAYACXX,7,SJCBF144_D-C0PAYACXX.7.bam.cip,EGAF00000879368
SJCBF144,D,C0PAYACXX,8,SJCBF144_D-C0PAYACXX.8.bam.cip,EGAF00000879369
SJCBF144,G,C0PAYACXX,7,SJCBF144_G-C0PAYACXX.7.bam.cip,EGAF00000879370
SJCBF144,G,C0PAYACXX,8,SJCBF144_G-C0PAYACXX.8.bam.cip,EGAF00000879371
SJCBF145,D,C0PAYACXX,7,SJCBF145_D-C0PAYACXX.7.bam.cip,EGAF00000879372
SJCBF145,D,C0PAYACXX,8,SJCBF145_D-C0PAYACXX.8.bam.cip,EGAF00000879373
SJCBF145,G,C0PAYACXX,7,SJCBF145_G-C0PAYACXX.7.bam.cip,EGAF00000879374
SJCBF145,G,C0PAYACXX,8,SJCBF145_G-C0PAYACXX.8.bam.cip,EGAF00000879375
SJCBF146,D,C0PAYACXX,7,SJCBF146_D-C0PAYACXX.7.bam.cip,EGAF00000879376
SJCBF146,D,C0PAYACXX,8,SJCBF146_D-C0PAYACXX.8.bam.cip,EGAF00000879377
SJCBF146,G,D11PBACXX,1,SJCBF146_G-D11PBACXX.1.bam.cip,EGAF00000879378
SJCBF146,G,D11PBACXX,2,SJCBF146_G-D11PBACXX.2.bam.cip,EGAF00000879379
SJCBF147,D,D11PBACXX,1,SJCBF147_D-D11PBACXX.1.bam.cip,EGAF00000879380
SJCBF147,D,D11PBACXX,2,SJCBF147_D-D11PBACXX.2.bam.cip,EGAF00000879381
SJCBF147,G,D11PBACXX,1,SJCBF147_G-D11PBACXX.1.bam.cip,EGAF00000879382
SJCBF147,G,D11PBACXX,2,SJCBF147_G-D11PBACXX.2.bam.cip,EGAF00000879383
SJCBF148,D,D11PBACXX,1,SJCBF148_D-D11PBACXX.1.bam.cip,EGAF00000879384
SJCBF148,D,D11PBACXX,2,SJCBF148_D-D11PBACXX.2.bam.cip,EGAF00000879385
SJCBF148,G,D12JLAXX.,.,SJCBF148_G-D12JLAXX.1.bam.cip,EGAF00000879386
SJCBF148,G,D12JLAXX.,.,SJCBF148_G-D12JLAXX.2.bam.cip,EGAF00000879387
SJCBF149,D,D11PBACXX,1,SJCBF149_D-D11PBACXX.1.bam.cip,EGAF00000879388
SJCBF149,D,D11PBACXX,2,SJCBF149_D-D11PBACXX.2.bam.cip,EGAF00000879389
